RELATÓRIO DE SERVIDORES - 22/01/2026 21:21
====================================================================================================
NOME DO ARQUIVO                                         | SERVIDOR BASE
BLACKBR_-_OURO_-__TESTE_IPTV_COMPLETO_C_ADULTOS_[22-..  | http://83km.sbs:80
BLACKBR_-_OURO_-__TESTE_IPTV_COMPLETO_S_ADULTOS_[20-..  | http://xui.brfontes.fun:80
BLACKBR_-_OURO_-__TESTE_IPTV_COMPLETO_S_ADULTOS_[22-..  | http://83km.sbs:80
BLACKBR_-_RUBI_-__TESTE_IPTV_COMPLETO_C_ADULTOS_[21-..  | http://cloudsalex.space:80
BLACKBR_-_RUBI_-__TESTE_IPTV_COMPLETO_C_ADULTOS_[22-..  | http://cloudsalex.space:80
BLACKBR_-_RUBI_-__TESTE_IPTV_COMPLETO_S_ADULTOS_[21-..  | http://cloudsalex.space:80
BLACKBR_-_RUBI_-__TESTE_IPTV_COMPLETO_S_ADULTOS_[22-..  | http://cloudsalex.space:80
BLACKBR_-_SAFIRA_-__TESTE_IPTV_COMPLETO_C_ADULTOS_[2..  | http://38.147.106.155:80
BLACKBR_-_SAFIRA_-__TESTE_IPTV_COMPLETO_C_ADULTOS_[2..  | http://38.147.106.155:80
BLACKBR_-_SAFIRA_-__TESTE_IPTV_COMPLETO_S_ADULTOS_[2..  | http://38.147.106.155:80
BLACKBR_-_SAFIRA_-__TESTE_IPTV_COMPLETO_S_ADULTOS_[2..  | http://srv3.site:80
BLACKBR_-_Z2_-__TESTE_IPTV_COMPLETO_C_ADULTOS_[20-01..  | http://wpm.dcnn.site:80
BLACKBR_-_Z2_-__TESTE_IPTV_COMPLETO_C_ADULTOS_[22-01..  | http://nordesteip.shop:80
BLACKBR_-_Z2_-__TESTE_IPTV_COMPLETO_S_ADULTOS_[20-01..  | http://wpm.dcnn.site:80
BLACKBR_-_Z2_-__TESTE_IPTV_COMPLETO_S_ADULTOS_[22-01..  | http://nordesteip.shop:80
BLACKBR_-_ZEROUM__-__TESTE_IPTV_COMPLETO_C_ADULTOS_[..  | http://topcdn.fun:80
BLACKBR_-_ZEROUM__-__TESTE_IPTV_COMPLETO_C_ADULTOS_[..  | http://topcdn.fun:80
BLACKBR_-_ZEROUM__-__TESTE_IPTV_COMPLETO_S_ADULTOS_[..  | http://topcdn.fun:80
BLACKBR_-_ZEROUM__-__TESTE_IPTV_COMPLETO_S_ADULTOS_[..  | http://topcdn.fun:80
