RELATÓRIO DE SERVIDORES IPTV - 19/01/2026 18:51
Baseado apenas nos arquivos da pasta: Listas-Downloaded
====================================================================================================
NOME DO ARQUIVO                                    | SERVIDOR BASE IDENTIFICADO
BLACKBR_-_OURO_-__TESTE_IPTV_COMPLETO_S_ADULTOS..  | http://xui.brfontes.fun:80
BLACKBR_-_RUBI_-__TESTE_IPTV_COMPLETO_C_ADULTOS..  | http://cloudsalex.space:80
BLACKBR_-_RUBI_-__TESTE_IPTV_COMPLETO_C_ADULTOS..  | http://cloudsalex.space:80
BLACKBR_-_RUBI_-__TESTE_IPTV_COMPLETO_S_ADULTOS..  | http://cloudsalex.space:80
BLACKBR_-_RUBI_-__TESTE_IPTV_COMPLETO_S_ADULTOS..  | http://cloudsalex.space:80
BLACKBR_-_SAFIRA_-__TESTE_IPTV_COMPLETO_C_ADULT..  | http://38.147.106.155:80
BLACKBR_-_SAFIRA_-__TESTE_IPTV_COMPLETO_C_ADULT..  | http://38.147.106.155:80
BLACKBR_-_SAFIRA_-__TESTE_IPTV_COMPLETO_S_ADULT..  | http://38.147.106.155:80
BLACKBR_-_SAFIRA_-__TESTE_IPTV_COMPLETO_S_ADULT..  | http://38.147.106.155:80
BLACKBR_-_Z2_-__TESTE_IPTV_COMPLETO_C_ADULTOS_[..  | http://wpm.dcnn.site:80
BLACKBR_-_Z2_-__TESTE_IPTV_COMPLETO_C_ADULTOS_[..  | http://wpm.dcnn.site:80
BLACKBR_-_Z2_-__TESTE_IPTV_COMPLETO_S_ADULTOS_[..  | http://wpm.dcnn.site:80
BLACKBR_-_Z2_-__TESTE_IPTV_COMPLETO_S_ADULTOS_[..  | http://wpm.dcnn.site:80
BLACKBR_-_ZEROUM__-__TESTE_IPTV_COMPLETO_C_ADUL..  | http://topcdn.fun:80
BLACKBR_-_ZEROUM__-__TESTE_IPTV_COMPLETO_C_ADUL..  | http://topcdn.fun:80
BLACKBR_-_ZEROUM__-__TESTE_IPTV_COMPLETO_S_ADUL..  | http://topcdn.fun:80
BLACKBR_-_ZEROUM__-__TESTE_IPTV_COMPLETO_S_ADUL..  | http://topcdn.fun:80
BLACKBR_-__-__TESTE_IPTV_COMPLETO_C_ADULTOS_[19..  | http://protec.sbs:80
BLACKBR_-__-__TESTE_IPTV_COMPLETO_C_ADULTOS_[19..  | http://protec.sbs:80
BLACKBR_-__-__TESTE_IPTV_COMPLETO_S_ADULTOS_[19..  | http://protec.sbs:80
BLACKBR_-__-__TESTE_IPTV_COMPLETO_S_ADULTOS_[19..  | http://protec.sbs:80
CYBER_-_404SRV_-_4H_TESTE_COMPLETO_CADULTO_[19-..  | http://infra10.top:80
CYBER_-_404SRV_-_4H_TESTE_COMPLETO_SADULTO_[19-..  | http://infra10.top:80
CYBER_-_4H_TESTE_COMPLETO_CADULTO_[19-01-2026_1..  | http://rynox.top:80
CYBER_-_4H_TESTE_COMPLETO_SADULTO_[19-01-2026_1..  | http://rynox.top:80
CYBER_-_IMPRIO_-_4H_TESTE_COMPLETO_CADULTO_[19-..  | http://cdn.viadoveio.uk:80
CYBER_-_IMPRIO_-_4H_TESTE_COMPLETO_SADULTO_[19-..  | http://cdn.viadoveio.uk:80
CineFlix_-_1_NET-ONE_-_Teste_IPTV_C_Adultos_[19..  | http://fontez.cc:80
CineFlix_-_1_NET-ONE_-_Teste_IPTV_C_Adultos_[19..  | http://fontez.cc:80
CineFlix_-_1_NET-ONE_-_Teste_IPTV_C_Internacion..  | http://fontez.cc:80
CineFlix_-_1_NET-ONE_-_Teste_IPTV_C_Internacion..  | http://fontez.cc:80
CineFlix_-_1_NET-ONE_-_Teste_IPTV_S_Adultos_[19..  | http://fontez.cc:80
CineFlix_-_1_NET-ONE_-_Teste_IPTV_S_Adultos_[19..  | http://fontez.cc:80
CineFlix_-__Cine_BR_-_Teste_IPTV_C_Adultos_[19-..  | http://cdn.andromedaz.site:80
CineFlix_-__Cine_BR_-_Teste_IPTV_C_Adultos_[19-..  | http://cdn.andromedaz.site:80
CineFlix_-__Cine_BR_-_Teste_IPTV_S_Adultos_[19-..  | http://cdn.andromedaz.site:80
CineFlix_-__Cine_BR_-_Teste_IPTV_S_Adultos_[19-..  | http://cdn.andromedaz.site:80
CineFlix_-__Cine_RAIO_-_Teste_IPTV_C_Adultos_[1..  | http://srv3.site:80
CineFlix_-__Cine_RAIO_-_Teste_IPTV_C_Adultos_[1..  | http://srv3.site:80
CineFlix_-__Cine_RAIO_-_Teste_IPTV_S_Adultos_[1..  | http://srv3.site:80
CineFlix_-__Cine_RAIO_-_Teste_IPTV_S_Adultos_[1..  | http://srv3.site:80
CineFlix_-__Cine_Z_-_Teste_IPTV_C_Adultos_[19-0..  | http://cloudsalex.space:80
CineFlix_-__Cine_Z_-_Teste_IPTV_C_Adultos_[19-0..  | http://cloudsalex.space:80
