RELATÓRIO DE SERVIDORES IPTV - 18/01/2026 20:38
Baseado apenas nos arquivos da pasta: Listas-Downloaded
====================================================================================================
NOME DO ARQUIVO                                    | SERVIDOR BASE IDENTIFICADO
GLOBAL__IPTV_3_-_TESTE_3HRS__COMPLETO.m3u          | http://topcdn.fun:80
GLOBAL__IPTV_3_-_TESTE_3HRS__SEM_ADULTOS.m3u       | http://topcdn.fun:80
GLOBAL__IPTV_3_-_TESTE_6HRS__COMPLETO.m3u          | http://topcdn.fun:80
GLOBAL__IPTV_3_-_TESTE_6HRS__SEM_ADULTOS.m3u       | http://topcdn.fun:80
GLOBAL__IPTV_4_-_TESTE_1HR__COMPLETO.m3u           | http://x25.acxll.shop:80
GLOBAL__IPTV_4_-_TESTE_1HR__SEM_ADULTOS.m3u        | http://x25.acxll.shop:80
GLOBAL__IPTV_4_-_TESTE_3HRS__COMPLETO.m3u          | http://x25.acxll.shop:80
GLOBAL__IPTV_4_-_TESTE_3HRS__SEM_ADULTOS.m3u       | http://x25.acxll.shop:80
GLOBAL__IPTV_4_-_TESTE_6HRS__COMPLETO.m3u          | http://x25.acxll.shop:80
GLOBAL__IPTV_4_-_TESTE_6HRS__SEM_ADULTOS.m3u       | http://x25.acxll.shop:80
HAVOK_TV_-_ANDROMEDA_-__[Teste_04h]_-_Andromeda..  | http://tigeragile.uk:80
HAVOK_TV_-_DIGNUS_-__[Teste_04h]_-_Dignus.m3u      | http://cloudsalex.space:80
HAVOK_TV_-_FNIX_-__[Teste_04h]_-_Fnix.m3u          | http://c.superodin.nl70.top:80
HAVOK_TV_-_KLAUS_-__[Teste_04h]_-_Klaus.m3u        | http://xui.brfontes.fun:80
HAVOK_TV_-_KYROS_-__[Teste_04h]_-_Kyros.m3u        | http://cloudsalex.space:80
HAVOK_TV_-_MAGNUS_-__[Teste_6h]_-_Magnus.m3u       | http://sxhs.cgpsx.site:80
HAVOK_TV_-_NEON_-__[Teste_6h]_-_Neon.m3u           | http://lbgthost.shop:80
HAVOK_TV_-_NEXUS_-__[Teste_04h]_-_Nexus.m3u        | http://fhmplay.shop:80
HAVOK_TV_-_OMEGA_-__[Teste_04h]_-_Omega.m3u        | http://fontez.cc:80
HAVOK_TV_-_ORION_-__[Teste_04h]_-_Orion.m3u        | http://x25.acxll.shop:80
HAVOK_TV_-_SHAZAM_-__[Teste_04h]_-_Shazam.m3u      | http://cdn.andromedaz.site:80
HAVOK_TV_-_TIGER_-__[Teste_06h]_-_Tiger.m3u        | http://38.147.106.155:80
HAVOK_TV_-_VORNAK_-__[Teste_04h]_-_Vornak.m3u      | http://dstreaming.win:80
HAVOK_TV_-_ZAYDA_-__[Teste_04h]_-_Zayda.m3u        | http://cdn.serversnetuno.site:80
INVICTOS_EXTREME_-.m3u                             | http://sourceopbx.sbs:80
INVICTOS_SERVER_-_TESTE_COMPLETO_SEM_ADULTOS.m3..  | http://sourceopbx.sbs:80
INVICTOS_SERVER_-__TESTE_COMPLETO_-_SMART_TVS_(..  | ⚠️ Nenhum link encontrado
INVICTOS_SERVER_-__TESTE_COMPLETO_COM_ADULTOS.m..  | ⚠️ Nenhum link encontrado
Infrax_-__LUVEM_-_Teste_Completo_Com_Adultos.m3..  | http://cloudsalex.space:80
Infrax_-__LUVEM_-_Teste_Completo_Sem_Adultos.m3..  | http://cloudsalex.space:80
LIFE_UHD_-_ARES_PLAY_-_ARES_PLAY_TESTE_-_CADULT..  | http://cdneshow.xyz:80
LIFE_UHD_-_ARES_PLAY_-_ARES_PLAY_TESTE_-_sADULT..  | http://cdneshow.xyz:80
LIFE_UHD_-_CINEMAX_-__CINEMAX_TESTE_-_CADULTOS...  | http://cdn.andromedaz.site:80
LIFE_UHD_-_CINEMAX_-__CINEMAX_TESTE_-_sADULTOS...  | http://cdn.andromedaz.site:80
LIFE_UHD_-_GTA_PLAYER_-__GTA_PLAYER_TESTE_-_CAD..  | http://srv3.site:80
LIFE_UHD_-_GTA_PLAYER_-__GTA_PLAYER_TESTE_-_SAD..  | http://srv3.site:80
LIFE_UHD_-_GreenTv_-_GREEN_PLAY_TESTE_-_CADULTO..  | http://xui.brfontes.fun:80
LIFE_UHD_-_GreenTv_-_GREEN_PLAY_TESTE_-_SADULTO..  | http://xui.brfontes.fun:80
LIFE_UHD_-_K9_PLAY_-__K9_PLAY_TESTE_-_CADULTOS...  | http://protec.sbs:80
LIFE_UHD_-_K9_PLAY_-__K9_PLAY_TESTE_-_sADULTOS...  | http://protec.sbs:80
