
============================================================
📁 ARQUIVO: GLOBAL__IPTV_2_-_TESTE_6HRS__SEM_ADULTOS_[19-01-2026_21h06].m3u
📅 DATA: 19/01/2026 21:06
------------------------------------------------------------
ℹ️ BASE DE DADOS INICIADA: 337311 itens.

============================================================
📁 ARQUIVO: GLOBAL__IPTV_2_-_TESTE_6HRS__SEM_ADULTOS_[20-01-2026_17h32].m3u
📅 DATA: 20/01/2026 17:32
------------------------------------------------------------
🟢 ENTRARAM (697):
   + [▶️ Series | Disney] 911 S04E09  | (1ª vez: 20/01/2026 17:32)
   + [▶️ Series | Disney] 911 S04E10  | (1ª vez: 20/01/2026 17:32)
   + [▶️ Series | Disney] 911 S04E11  | (1ª vez: 20/01/2026 17:32)
   + [▶️ Series | Disney] 911 S04E12  | (1ª vez: 20/01/2026 17:32)
   + [▶️ Series | Disney] 911 S04E13  | (1ª vez: 20/01/2026 17:32)
   + [▶️ Series | Disney] 911 S04E14  | (1ª vez: 20/01/2026 17:32)
   + [▶️ Series | Disney] 911 S05E01  | (1ª vez: 20/01/2026 17:32)
   + [▶️ Series | Disney] 911 S05E02  | (1ª vez: 20/01/2026 17:32)
   + [▶️ Series | Disney] 911 S05E03  | (1ª vez: 20/01/2026 17:32)
   + [▶️ Series | Disney] 911 S05E04  | (1ª vez: 20/01/2026 17:32)
   + [▶️ Series | Disney] 911 S05E05  | (1ª vez: 20/01/2026 17:32)
   + [▶️ Series | Disney] 911 S05E06  | (1ª vez: 20/01/2026 17:32)
   + [▶️ Series | Disney] 911 S05E07  | (1ª vez: 20/01/2026 17:32)
   + [▶️ Series | Disney] 911 S05E08  | (1ª vez: 20/01/2026 17:32)
   + [▶️ Series | Disney] 911 S05E09  | (1ª vez: 20/01/2026 17:32)
   + [▶️ Series | Disney] 911 S05E10  | (1ª vez: 20/01/2026 17:32)
   + [▶️ Series | Disney] 911 S05E11  | (1ª vez: 20/01/2026 17:32)
   + [▶️ Series | Disney] 911 S05E12  | (1ª vez: 20/01/2026 17:32)
   + [▶️ Series | Disney] 911 S05E13  | (1ª vez: 20/01/2026 17:32)
   + [▶️ Series | Disney] 911 S05E14  | (1ª vez: 20/01/2026 17:32)
   + [▶️ Series | Disney] 911 S05E15  | (1ª vez: 20/01/2026 17:32)
   + [▶️ Series | Disney] 911 S05E16  | (1ª vez: 20/01/2026 17:32)
   + [▶️ Series | Disney] 911 S06E01  | (1ª vez: 20/01/2026 17:32)
   + [▶️ Series | Disney] 911 S06E02  | (1ª vez: 20/01/2026 17:32)
   + [▶️ Series | Disney] 911 S06E03  | (1ª vez: 20/01/2026 17:32)
   + [▶️ Series | Disney] 911 S06E04  | (1ª vez: 20/01/2026 17:32)
   + [▶️ Series | Disney] 911 S06E05  | (1ª vez: 20/01/2026 17:32)
   + [▶️ Series | Disney] 911 S06E06  | (1ª vez: 20/01/2026 17:32)
   + [▶️ Series | Disney] 911 S06E07  | (1ª vez: 20/01/2026 17:32)
   + [▶️ Series | Disney] 911 S06E08  | (1ª vez: 20/01/2026 17:32)
   + [▶️ Series | Disney] 911 S06E09  | (1ª vez: 20/01/2026 17:32)
