
============================================================
📁 ARQUIVO: AMERICAN_-_SUPER_-__American_Super_SAdultos_[19-01-2026_21h06].m3u
📅 DATA: 19/01/2026 21:06
------------------------------------------------------------
ℹ️ BASE DE DADOS INICIADA: 273386 itens.

============================================================
📁 ARQUIVO: AMERICAN_-_SUPER_-__American_Super_SAdultos_[20-01-2026_17h32].m3u
📅 DATA: 20/01/2026 17:32
------------------------------------------------------------
🟢 ENTRARAM (36):
   + [⚽ JOGOS DO DIA] ⏰ 20h00 Paulista - 26 ⚽ Novorizontino x Palmeiras - FHD - HBO Max  | (1ª vez: 20/01/2026 17:32)
   + [⚽ JOGOS DO DIA] ⏰ 20h00 Paulista - 26 ⚽ Novorizontino x Palmeiras - FHD - TNT  | (1ª vez: 20/01/2026 17:32)
   + [⚽ JOGOS DO DIA] ⏰ 20h00 Paulista - 26 ⚽ Novorizontino x Palmeiras - HD - HBO Max  | (1ª vez: 20/01/2026 17:32)
   + [⚽ JOGOS DO DIA] ⏰ 20h00 Paulista - 26 ⚽ Novorizontino x Palmeiras - HD - TNT  | (1ª vez: 20/01/2026 17:32)
   + [⚽ JOGOS DO DIA] ⏰ 20h00 Paulista - 26 ⚽ Novorizontino x Palmeiras - SD - HBO Max  | (1ª vez: 20/01/2026 17:32)
   + [⚽ JOGOS DO DIA] ⏰ 20h00 Paulista - 26 ⚽ Novorizontino x Palmeiras - SD - TNT  | (1ª vez: 20/01/2026 17:32)
   + [⚽ JOGOS DO DIA] ⏰ 20h00 Paulista - 26 ⚽ Novorizontino x Palmeiras - UHD - HBO Max  | (1ª vez: 20/01/2026 17:32)
   + [⚽ JOGOS DO DIA] ⏰ 20h00 Paulista - 26 ⚽ Novorizontino x Palmeiras - UHD - TNT  | (1ª vez: 20/01/2026 17:32)

🔴 SAÍRAM (42):
   - [⚽ JOGOS DO DIA] ⏰ 14h00 Süper Lig ⚽ Beşiktaş x Kayserispor - FHD - Disney+  | (Visto em: 19/01/2026 21:06)
   - [⚽ JOGOS DO DIA] ⏰ 14h00 Süper Lig ⚽ Beşiktaş x Kayserispor - HD - Disney+  | (Visto em: 19/01/2026 21:06)
   - [⚽ JOGOS DO DIA] ⏰ 14h00 Süper Lig ⚽ Beşiktaş x Kayserispor - SD - Disney+  | (Visto em: 19/01/2026 21:06)
   - [⚽ JOGOS DO DIA] ⏰ 14h00 Süper Lig ⚽ Beşiktaş x Kayserispor - UHD - Disney+  | (Visto em: 19/01/2026 21:06)
   - [⚽ JOGOS DO DIA] ⏰ 14h30 Serie A ⚽ Cremonese x Verona - FHD - Disney+  | (Visto em: 19/01/2026 21:06)
   - [⚽ JOGOS DO DIA] ⏰ 14h30 Serie A ⚽ Cremonese x Verona - HD - Disney+  | (Visto em: 19/01/2026 21:06)
   - [⚽ JOGOS DO DIA] ⏰ 14h30 Serie A ⚽ Cremonese x Verona - SD - Disney+  | (Visto em: 19/01/2026 21:06)
   - [⚽ JOGOS DO DIA] ⏰ 14h30 Serie A ⚽ Cremonese x Verona - UHD - Disney+  | (Visto em: 19/01/2026 21:06)
   - [⚽ JOGOS DO DIA] ⏰ 16h45 Serie A ⚽ Lazio x Como - FHD - Disney+  | (Visto em: 19/01/2026 21:06)
   - [⚽ JOGOS DO DIA] ⏰ 16h45 Serie A ⚽ Lazio x Como - FHD - XSports  | (Visto em: 19/01/2026 21:06)
   - [⚽ JOGOS DO DIA] ⏰ 16h45 Serie A ⚽ Lazio x Como - HD - Disney+  | (Visto em: 19/01/2026 21:06)
   - [⚽ JOGOS DO DIA] ⏰ 16h45 Serie A ⚽ Lazio x Como - HD - XSports  | (Visto em: 19/01/2026 21:06)
   - [⚽ JOGOS DO DIA] ⏰ 16h45 Serie A ⚽ Lazio x Como - SD - Disney+  | (Visto em: 19/01/2026 21:06)
   - [⚽ JOGOS DO DIA] ⏰ 16h45 Serie A ⚽ Lazio x Como - SD - XSports  | (Visto em: 19/01/2026 21:06)
   - [⚽ JOGOS DO DIA] ⏰ 16h45 Serie A ⚽ Lazio x Como - UHD - Disney+  | (Visto em: 19/01/2026 21:06)
   - [⚽ JOGOS DO DIA] ⏰ 17h00 La Liga ⚽ Elche x Sevilla - FHD - Disney+  | (Visto em: 19/01/2026 21:06)
   - [⚽ JOGOS DO DIA] ⏰ 17h00 La Liga ⚽ Elche x Sevilla - FHD - ESPN 4  | (Visto em: 19/01/2026 21:06)
   - [⚽ JOGOS DO DIA] ⏰ 17h00 La Liga ⚽ Elche x Sevilla - HD - Disney+  | (Visto em: 19/01/2026 21:06)
   - [⚽ JOGOS DO DIA] ⏰ 17h00 La Liga ⚽ Elche x Sevilla - HD - ESPN 4  | (Visto em: 19/01/2026 21:06)
   - [⚽ JOGOS DO DIA] ⏰ 17h00 La Liga ⚽ Elche x Sevilla - SD - Disney+  | (Visto em: 19/01/2026 21:06)
   - [⚽ JOGOS DO DIA] ⏰ 17h00 La Liga ⚽ Elche x Sevilla - SD - ESPN 4  | (Visto em: 19/01/2026 21:06)
   - [⚽ JOGOS DO DIA] ⏰ 17h00 La Liga ⚽ Elche x Sevilla - UHD - Disney+  | (Visto em: 19/01/2026 21:06)
   - [⚽ JOGOS DO DIA] ⏰ 17h00 La Liga ⚽ Elche x Sevilla - UHD - ESPN 4  | (Visto em: 19/01/2026 21:06)
   - [⚽ JOGOS DO DIA] ⏰ 17h00 Premier League ⚽ Brighton x Bournemouth - FHD - Disney+  | (Visto em: 19/01/2026 21:06)
   - [⚽ JOGOS DO DIA] ⏰ 17h00 Premier League ⚽ Brighton x Bournemouth - FHD - ESPN  | (Visto em: 19/01/2026 21:06)
   - [⚽ JOGOS DO DIA] ⏰ 17h00 Premier League ⚽ Brighton x Bournemouth - HD - Disney+  | (Visto em: 19/01/2026 21:06)
   - [⚽ JOGOS DO DIA] ⏰ 17h00 Premier League ⚽ Brighton x Bournemouth - HD - ESPN  | (Visto em: 19/01/2026 21:06)
   - [⚽ JOGOS DO DIA] ⏰ 17h00 Premier League ⚽ Brighton x Bournemouth - SD - Disney+  | (Visto em: 19/01/2026 21:06)
   - [⚽ JOGOS DO DIA] ⏰ 17h00 Premier League ⚽ Brighton x Bournemouth - SD - ESPN  | (Visto em: 19/01/2026 21:06)
   - [⚽ JOGOS DO DIA] ⏰ 17h00 Premier League ⚽ Brighton x Bournemouth - UHD - Disney+  | (Visto em: 19/01/2026 21:06)
   - [⚽ JOGOS DO DIA] ⏰ 17h00 Premier League ⚽ Brighton x Bournemouth - UHD - ESPN  | (Visto em: 19/01/2026 21:06)
   - [⚽ JOGOS DO DIA] ⏰ 17h15 Primeira Liga ⚽ Estrela x Estoril - FHD - Disney+  | (Visto em: 19/01/2026 21:06)
   - [⚽ JOGOS DO DIA] ⏰ 17h15 Primeira Liga ⚽ Estrela x Estoril - HD - Disney+  | (Visto em: 19/01/2026 21:06)
   - [⚽ JOGOS DO DIA] ⏰ 17h15 Primeira Liga ⚽ Estrela x Estoril - SD - Disney+  | (Visto em: 19/01/2026 21:06)
   - [⚽ JOGOS DO DIA] ⏰ 17h15 Primeira Liga ⚽ Estrela x Estoril - UHD - Disney+  | (Visto em: 19/01/2026 21:06)
   - [⚽ JOGOS DO DIA] ⏰ 19h30 Catarinense - 1 ⚽ Criciuma x Concórdia - FHD - SportyNet  | (Visto em: 19/01/2026 21:06)
   - [⚽ JOGOS DO DIA] ⏰ 19h30 Catarinense - 1 ⚽ Criciuma x Concórdia - HD - SportyNet  | (Visto em: 19/01/2026 21:06)
   - [⚽ JOGOS DO DIA] ⏰ 19h30 Catarinense - 1 ⚽ Criciuma x Concórdia - SD - SportyNet  | (Visto em: 19/01/2026 21:06)
   - [⚽ JOGOS DO DIA] ⏰ 19h30 Catarinense - 1 ⚽ Criciuma x Concórdia - UHD - SportyNet  | (Visto em: 19/01/2026 21:06)
   - [⚽ JOGOS DO DIA] ⏰ 21h00 São Paulo Youth Cup ⚽ São Paulo U20 x Botafogo U20 - FHD - XSports  | (Visto em: 19/01/2026 21:06)
   - [⚽ JOGOS DO DIA] ⏰ 21h00 São Paulo Youth Cup ⚽ São Paulo U20 x Botafogo U20 - HD - XSports  | (Visto em: 19/01/2026 21:06)
   - [⚽ JOGOS DO DIA] ⏰ 21h00 São Paulo Youth Cup ⚽ São Paulo U20 x Botafogo U20 - SD - XSports  | (Visto em: 19/01/2026 21:06)
