
============================================================
📁 ARQUIVO: CYBER_-__IMPRIO__-__4H_TESTE_COMPLETO_CADULTO_[19-01-2026_21h06].m3u
📅 DATA: 19/01/2026 21:06
------------------------------------------------------------
ℹ️ BASE DE DADOS INICIADA: 315258 itens.

============================================================
📁 ARQUIVO: CYBER_-__IMPRIO__-__4H_TESTE_COMPLETO_CADULTO_[20-01-2026_17h32].m3u
📅 DATA: 20/01/2026 17:32
------------------------------------------------------------
🟢 ENTRARAM (2711):
   + [Novelas] Pai Herói (1979) S01E121  | (1ª vez: 20/01/2026 17:32)
   + [Novelas] Pai Herói (1979) S01E122  | (1ª vez: 20/01/2026 17:32)
   + [Novelas] Pai Herói (1979) S01E123  | (1ª vez: 20/01/2026 17:32)
   + [Novelas] Pai Herói (1979) S01E124  | (1ª vez: 20/01/2026 17:32)
   + [Novelas] Pai Herói (1979) S01E125  | (1ª vez: 20/01/2026 17:32)
   + [Novelas] Pai Herói (1979) S01E126  | (1ª vez: 20/01/2026 17:32)
   + [Novelas] Pai Herói (1979) S01E127  | (1ª vez: 20/01/2026 17:32)
   + [Novelas] Pai Herói (1979) S01E128  | (1ª vez: 20/01/2026 17:32)
   + [Novelas] Pai Herói (1979) S01E129  | (1ª vez: 20/01/2026 17:32)
   + [Novelas] Pai Herói (1979) S01E13  | (1ª vez: 20/01/2026 17:32)
   + [Novelas] Pai Herói (1979) S01E130  | (1ª vez: 20/01/2026 17:32)
   + [Novelas] Pai Herói (1979) S01E131  | (1ª vez: 20/01/2026 17:32)
   + [Novelas] Pai Herói (1979) S01E132  | (1ª vez: 20/01/2026 17:32)
   + [Novelas] Pai Herói (1979) S01E133  | (1ª vez: 20/01/2026 17:32)
   + [Novelas] Pai Herói (1979) S01E134  | (1ª vez: 20/01/2026 17:32)
   + [Novelas] Pai Herói (1979) S01E135  | (1ª vez: 20/01/2026 17:32)
   + [Novelas] Pai Herói (1979) S01E136  | (1ª vez: 20/01/2026 17:32)
   + [Novelas] Pai Herói (1979) S01E137  | (1ª vez: 20/01/2026 17:32)
   + [Novelas] Pai Herói (1979) S01E138  | (1ª vez: 20/01/2026 17:32)
   + [Novelas] Pai Herói (1979) S01E139  | (1ª vez: 20/01/2026 17:32)
   + [Novelas] Pai Herói (1979) S01E14  | (1ª vez: 20/01/2026 17:32)
   + [Novelas] Pai Herói (1979) S01E140  | (1ª vez: 20/01/2026 17:32)
   + [Novelas] Pai Herói (1979) S01E141  | (1ª vez: 20/01/2026 17:32)
   + [Novelas] Pai Herói (1979) S01E142  | (1ª vez: 20/01/2026 17:32)
   + [Novelas] Pai Herói (1979) S01E143  | (1ª vez: 20/01/2026 17:32)
   + [Novelas] Pai Herói (1979) S01E144  | (1ª vez: 20/01/2026 17:32)
   + [Novelas] Pai Herói (1979) S01E145  | (1ª vez: 20/01/2026 17:32)
   + [Novelas] Pai Herói (1979) S01E146  | (1ª vez: 20/01/2026 17:32)
   + [Novelas] Pai Herói (1979) S01E147  | (1ª vez: 20/01/2026 17:32)
   + [Novelas] Pai Herói (1979) S01E148  | (1ª vez: 20/01/2026 17:32)
   + [Novelas] Pai Herói (1979) S01E149  | (1ª vez: 20/01/2026 17:32)
   + [Novelas] Pai Herói (1979) S01E15  | (1ª vez: 20/01/2026 17:32)
   + [Novelas] Pai Herói (1979) S01E150  | (1ª vez: 20/01/2026 17:32)
   + [Novelas] Pai Herói (1979) S01E151  | (1ª vez: 20/01/2026 17:32)
   + [Novelas] Pai Herói (1979) S01E152  | (1ª vez: 20/01/2026 17:32)
   + [Novelas] Pai Herói (1979) S01E153  | (1ª vez: 20/01/2026 17:32)
   + [Novelas] Pai Herói (1979) S01E154  | (1ª vez: 20/01/2026 17:32)
   + [Novelas] Pai Herói (1979) S01E155  | (1ª vez: 20/01/2026 17:32)
   + [Novelas] Pai Herói (1979) S01E156  | (1ª vez: 20/01/2026 17:32)
   + [Novelas] Pai Herói (1979) S01E157  | (1ª vez: 20/01/2026 17:32)
   + [Novelas] Pai Herói (1979) S01E158  | (1ª vez: 20/01/2026 17:32)
   + [Novelas] Pai Herói (1979) S01E159  | (1ª vez: 20/01/2026 17:32)
   + [Novelas] Pai Herói (1979) S01E16  | (1ª vez: 20/01/2026 17:32)
   + [Novelas] Pai Herói (1979) S01E160  | (1ª vez: 20/01/2026 17:32)
   + [Novelas] Pai Herói (1979) S01E161  | (1ª vez: 20/01/2026 17:32)
   + [Novelas] Pai Herói (1979) S01E162  | (1ª vez: 20/01/2026 17:32)
   + [Novelas] Pai Herói (1979) S01E163  | (1ª vez: 20/01/2026 17:32)
   + [Novelas] Pai Herói (1979) S01E164  | (1ª vez: 20/01/2026 17:32)
   + [Novelas] Pai Herói (1979) S01E165  | (1ª vez: 20/01/2026 17:32)
   + [Novelas] Pai Herói (1979) S01E166  | (1ª vez: 20/01/2026 17:32)
   + [Novelas] Pai Herói (1979) S01E167  | (1ª vez: 20/01/2026 17:32)
   + [Novelas] Pai Herói (1979) S01E168  | (1ª vez: 20/01/2026 17:32)
   + [Novelas] Pai Herói (1979) S01E169  | (1ª vez: 20/01/2026 17:32)
   + [Novelas] Pai Herói (1979) S01E17  | (1ª vez: 20/01/2026 17:32)
   + [Novelas] Pai Herói (1979) S01E170  | (1ª vez: 20/01/2026 17:32)
   + [Novelas] Pai Herói (1979) S01E171  | (1ª vez: 20/01/2026 17:32)
   + [Novelas] Pai Herói (1979) S01E172  | (1ª vez: 20/01/2026 17:32)
   + [Novelas] Pai Herói (1979) S01E173  | (1ª vez: 20/01/2026 17:32)
   + [Novelas] Pai Herói (1979) S01E174  | (1ª vez: 20/01/2026 17:32)
   + [Novelas] Pai Herói (1979) S01E175  | (1ª vez: 20/01/2026 17:32)
   + [Novelas] Pai Herói (1979) S01E176  | (1ª vez: 20/01/2026 17:32)
   + [Novelas] Pai Herói (1979) S01E177  | (1ª vez: 20/01/2026 17:32)
   + [Novelas] Pai Herói (1979) S01E178  | (1ª vez: 20/01/2026 17:32)
   + [Novelas] Pai Herói (1979) S01E18  | (1ª vez: 20/01/2026 17:32)
   + [Novelas] Pai Herói (1979) S01E19  | (1ª vez: 20/01/2026 17:32)
   + [Novelas] Pai Herói (1979) S01E20  | (1ª vez: 20/01/2026 17:32)
   + [Novelas] Pai Herói (1979) S01E21  | (1ª vez: 20/01/2026 17:32)
   + [Novelas] Pai Herói (1979) S01E22  | (1ª vez: 20/01/2026 17:32)
   + [Novelas] Pai Herói (1979) S01E23  | (1ª vez: 20/01/2026 17:32)
   + [Novelas] Pai Herói (1979) S01E24  | (1ª vez: 20/01/2026 17:32)
   + [Novelas] Pai Herói (1979) S01E25  | (1ª vez: 20/01/2026 17:32)
   + [Novelas] Pai Herói (1979) S01E26  | (1ª vez: 20/01/2026 17:32)
   + [Novelas] Pai Herói (1979) S01E27  | (1ª vez: 20/01/2026 17:32)
   + [Novelas] Pai Herói (1979) S01E28  | (1ª vez: 20/01/2026 17:32)
   + [Novelas] Pai Herói (1979) S01E29  | (1ª vez: 20/01/2026 17:32)
   + [Novelas] Pai Herói (1979) S01E30  | (1ª vez: 20/01/2026 17:32)
   + [Novelas] Pai Herói (1979) S01E31  | (1ª vez: 20/01/2026 17:32)
   + [Novelas] Pai Herói (1979) S01E32  | (1ª vez: 20/01/2026 17:32)
   + [Novelas] Pai Herói (1979) S01E33  | (1ª vez: 20/01/2026 17:32)
   + [Novelas] Pai Herói (1979) S01E34  | (1ª vez: 20/01/2026 17:32)
   + [Novelas] Pai Herói (1979) S01E35  | (1ª vez: 20/01/2026 17:32)
   + [Novelas] Pai Herói (1979) S01E36  | (1ª vez: 20/01/2026 17:32)
   + [Novelas] Pai Herói (1979) S01E37  | (1ª vez: 20/01/2026 17:32)
   + [Novelas] Pai Herói (1979) S01E38  | (1ª vez: 20/01/2026 17:32)
   + [Novelas] Pai Herói (1979) S01E39  | (1ª vez: 20/01/2026 17:32)
   + [Novelas] Pai Herói (1979) S01E40  | (1ª vez: 20/01/2026 17:32)
   + [Novelas] Pai Herói (1979) S01E41  | (1ª vez: 20/01/2026 17:32)
   + [Novelas] Pai Herói (1979) S01E42  | (1ª vez: 20/01/2026 17:32)
   + [Novelas] Pai Herói (1979) S01E43  | (1ª vez: 20/01/2026 17:32)
   + [Novelas] Pai Herói (1979) S01E44  | (1ª vez: 20/01/2026 17:32)
   + [Novelas] Pai Herói (1979) S01E45  | (1ª vez: 20/01/2026 17:32)
   + [Novelas] Pai Herói (1979) S01E46  | (1ª vez: 20/01/2026 17:32)
   + [Novelas] Pai Herói (1979) S01E47  | (1ª vez: 20/01/2026 17:32)
   + [Novelas] Pai Herói (1979) S01E48  | (1ª vez: 20/01/2026 17:32)
   + [Novelas] Pai Herói (1979) S01E49  | (1ª vez: 20/01/2026 17:32)
   + [Novelas] Pai Herói (1979) S01E50  | (1ª vez: 20/01/2026 17:32)
   + [Novelas] Pai Herói (1979) S01E51  | (1ª vez: 20/01/2026 17:32)
   + [Novelas] Pai Herói (1979) S01E52  | (1ª vez: 20/01/2026 17:32)
   + [Novelas] Pai Herói (1979) S01E53  | (1ª vez: 20/01/2026 17:32)
   + [Novelas] Pai Herói (1979) S01E54  | (1ª vez: 20/01/2026 17:32)
   + [Novelas] Pai Herói (1979) S01E55  | (1ª vez: 20/01/2026 17:32)
   + [Novelas] Pai Herói (1979) S01E56  | (1ª vez: 20/01/2026 17:32)
   + [Novelas] Pai Herói (1979) S01E57  | (1ª vez: 20/01/2026 17:32)
   + [Novelas] Pai Herói (1979) S01E58  | (1ª vez: 20/01/2026 17:32)
   + [Novelas] Pai Herói (1979) S01E59  | (1ª vez: 20/01/2026 17:32)
   + [Novelas] Pai Herói (1979) S01E60  | (1ª vez: 20/01/2026 17:32)
   + [Novelas] Pai Herói (1979) S01E61  | (1ª vez: 20/01/2026 17:32)
   + [Novelas] Pai Herói (1979) S01E62  | (1ª vez: 20/01/2026 17:32)
   + [Novelas] Pai Herói (1979) S01E63  | (1ª vez: 20/01/2026 17:32)
   + [Novelas] Pai Herói (1979) S01E64  | (1ª vez: 20/01/2026 17:32)
   + [Novelas] Pai Herói (1979) S01E65  | (1ª vez: 20/01/2026 17:32)
   + [Novelas] Pai Herói (1979) S01E66  | (1ª vez: 20/01/2026 17:32)
   + [Novelas] Pai Herói (1979) S01E67  | (1ª vez: 20/01/2026 17:32)
   + [Novelas] Pai Herói (1979) S01E68  | (1ª vez: 20/01/2026 17:32)
   + [Novelas] Pai Herói (1979) S01E69  | (1ª vez: 20/01/2026 17:32)
   + [Novelas] Pai Herói (1979) S01E70  | (1ª vez: 20/01/2026 17:32)
   + [Novelas] Pai Herói (1979) S01E71  | (1ª vez: 20/01/2026 17:32)
   + [Novelas] Pai Herói (1979) S01E72  | (1ª vez: 20/01/2026 17:32)
   + [Novelas] Pai Herói (1979) S01E73  | (1ª vez: 20/01/2026 17:32)
   + [Novelas] Pai Herói (1979) S01E74  | (1ª vez: 20/01/2026 17:32)
   + [Novelas] Pai Herói (1979) S01E75  | (1ª vez: 20/01/2026 17:32)
   + [Novelas] Pai Herói (1979) S01E76  | (1ª vez: 20/01/2026 17:32)
   + [Novelas] Pai Herói (1979) S01E77  | (1ª vez: 20/01/2026 17:32)
   + [Novelas] Pai Herói (1979) S01E78  | (1ª vez: 20/01/2026 17:32)
   + [Novelas] Pai Herói (1979) S01E79  | (1ª vez: 20/01/2026 17:32)
   + [Novelas] Pai Herói (1979) S01E80  | (1ª vez: 20/01/2026 17:32)
   + [Novelas] Pai Herói (1979) S01E81  | (1ª vez: 20/01/2026 17:32)
   + [Novelas] Pai Herói (1979) S01E82  | (1ª vez: 20/01/2026 17:32)
   + [Novelas] Pai Herói (1979) S01E83  | (1ª vez: 20/01/2026 17:32)
   + [Novelas] Pai Herói (1979) S01E84  | (1ª vez: 20/01/2026 17:32)
   + [Novelas] Pai Herói (1979) S01E85  | (1ª vez: 20/01/2026 17:32)
   + [Novelas] Pai Herói (1979) S01E86  | (1ª vez: 20/01/2026 17:32)
   + [Novelas] Pai Herói (1979) S01E87  | (1ª vez: 20/01/2026 17:32)
   + [Novelas] Pai Herói (1979) S01E88  | (1ª vez: 20/01/2026 17:32)
   + [Novelas] Pai Herói (1979) S01E89  | (1ª vez: 20/01/2026 17:32)
   + [Novelas] Pai Herói (1979) S01E90  | (1ª vez: 20/01/2026 17:32)
   + [Novelas] Pai Herói (1979) S01E91  | (1ª vez: 20/01/2026 17:32)
   + [Novelas] Pai Herói (1979) S01E92  | (1ª vez: 20/01/2026 17:32)
   + [Novelas] Pai Herói (1979) S01E93  | (1ª vez: 20/01/2026 17:32)
   + [Novelas] Pai Herói (1979) S01E94  | (1ª vez: 20/01/2026 17:32)
   + [Novelas] Pai Herói (1979) S01E95  | (1ª vez: 20/01/2026 17:32)
   + [Novelas] Pai Herói (1979) S01E96  | (1ª vez: 20/01/2026 17:32)
   + [Novelas] Pai Herói (1979) S01E97  | (1ª vez: 20/01/2026 17:32)
   + [Novelas] Pai Herói (1979) S01E98  | (1ª vez: 20/01/2026 17:32)
   + [Novelas] Pai Herói (1979) S01E99  | (1ª vez: 20/01/2026 17:32)
   + [Novelas] Paraíso (2009) S01E43  | (1ª vez: 20/01/2026 17:32)
   + [Novelas] Paraíso (2009) S01E44  | (1ª vez: 20/01/2026 17:32)
