
============================================================
📁 ARQUIVO: LIFE_UHD_-_GTA_PLAYER_-__GTA_PLAYER_TESTE_-_SADULTOS_[19-01-2026_21h06].m3u
📅 DATA: 19/01/2026 21:06
------------------------------------------------------------
ℹ️ BASE DE DADOS INICIADA: 263628 itens.

============================================================
📁 ARQUIVO: LIFE_UHD_-_GTA_PLAYER_-__GTA_PLAYER_TESTE_-_SADULTOS_[20-01-2026_23h42].m3u
📅 DATA: 20/01/2026 23:42
------------------------------------------------------------
🟢 ENTRARAM (117):
   + [Filmes | Romance] Com Quem Será? (2018)  | (1ª vez: 20/01/2026 23:42)
   + [Filmes | Romance] Embriagado de Amor (2002)  | (1ª vez: 20/01/2026 23:42)
   + [Filmes | Romance] Eternidade (1992)  | (1ª vez: 20/01/2026 23:42)
   + [Filmes | Romance] Eu Danço 2 (2008)  | (1ª vez: 20/01/2026 23:42)
   + [Filmes | Romance] French Lover (2025)  | (1ª vez: 20/01/2026 23:42)
   + [Filmes | Romance] Férias na Fazenda (2023)  | (1ª vez: 20/01/2026 23:42)
   + [Filmes | Romance] Henry e June - Delírios Eróticos (1990)  | (1ª vez: 20/01/2026 23:42)
   + [Filmes | Romance] Nossa Culpa (2025)  | (1ª vez: 20/01/2026 23:42)
   + [Filmes | Romance] O Manuscrito do Amor (2024)  | (1ª vez: 20/01/2026 23:42)
   + [Filmes | Romance] O Melhor de Nós Dois (2025)  | (1ª vez: 20/01/2026 23:42)
   + [Filmes | Romance] O Par Perfeito (2007)  | (1ª vez: 20/01/2026 23:42)
   + [Filmes | Romance] Paixões Proibidas (1970)  | (1ª vez: 20/01/2026 23:42)
   + [Filmes | Romance] Por Inteiro (2025)  | (1ª vez: 20/01/2026 23:42)
   + [Filmes | Romance] Quando Brota o Amor (1971)  | (1ª vez: 20/01/2026 23:42)
   + [Filmes | Romance] Quero Dizer que te Amo (1995)  | (1ª vez: 20/01/2026 23:42)
   + [Filmes | Romance] Romance à la Carte (2020)  | (1ª vez: 20/01/2026 23:42)
   + [Filmes | Romance] Rute e Boaz (2025)  | (1ª vez: 20/01/2026 23:42)
   + [Filmes | Romance] Se Não Fosse Você (2025)  | (1ª vez: 20/01/2026 23:42)
   + [Filmes | Romance] Sem Retrato e Sem Bilhete (2018)  | (1ª vez: 20/01/2026 23:42)
   + [Filmes | Romance] Siga Minha Voz (2025)  | (1ª vez: 20/01/2026 23:42)
   + [Filmes | Romance] Sumido! (2025)  | (1ª vez: 20/01/2026 23:42)
   + [Filmes | Romance] Surf Surf (2012)  | (1ª vez: 20/01/2026 23:42)
   + [Filmes | Romance] Um Amor ao Acaso (2009)  | (1ª vez: 20/01/2026 23:42)
   + [Filmes | Romance] Um Casal Quase Perfeito 2 (2006)  | (1ª vez: 20/01/2026 23:42)
   + [Filmes | Romance] Um Natal Mais Doce (2019)  | (1ª vez: 20/01/2026 23:42)
   + [Filmes | Romance] Um Natal Real (2020)  | (1ª vez: 20/01/2026 23:42)
   + [Filmes | Romance] Um Noivo e Duas Noivas (2025)  | (1ª vez: 20/01/2026 23:42)
   + [Filmes | Romance] Um Presente Perfeito (2013)  | (1ª vez: 20/01/2026 23:42)
   + [Filmes | Romance] Uma Bela Manhã (2022)  | (1ª vez: 20/01/2026 23:42)
   + [Filmes | Romance] Vibes: Boas Vibrações (1988)  | (1ª vez: 20/01/2026 23:42)
   + [Filmes | Romance] When Love Springs  | (1ª vez: 20/01/2026 23:42)
   + [Filmes | Romance] É Amor? (2022)  | (1ª vez: 20/01/2026 23:42)
