
============================================================
📁 ARQUIVO: CYBER_-__4H_TESTE_COMPLETO_CADULTO_[19-01-2026_21h06].m3u
📅 DATA: 19/01/2026 21:06
------------------------------------------------------------
ℹ️ BASE DE DADOS INICIADA: 306614 itens.

============================================================
📁 ARQUIVO: CYBER_-__4H_TESTE_COMPLETO_CADULTO_[20-01-2026_17h32].m3u
📅 DATA: 20/01/2026 17:32
------------------------------------------------------------
🟢 ENTRARAM (856):
   + [♣️Séries | Discovery Plus] American Sports Story (2024) S01E06  | (1ª vez: 20/01/2026 17:32)
   + [♣️Séries | Discovery Plus] American Sports Story (2024) S01E07  | (1ª vez: 20/01/2026 17:32)
   + [♣️Séries | Discovery Plus] American Sports Story (2024) S01E08  | (1ª vez: 20/01/2026 17:32)
   + [♣️Séries | Discovery Plus] American Sports Story (2024) S01E09  | (1ª vez: 20/01/2026 17:32)
   + [♣️Séries | Discovery Plus] American Sports Story (2024) S01E10  | (1ª vez: 20/01/2026 17:32)
   + [♣️Séries | Discovery Plus] Construções no Alasca (2012) S01E01  | (1ª vez: 20/01/2026 17:32)
   + [♣️Séries | Discovery Plus] Construções no Alasca (2012) S01E02  | (1ª vez: 20/01/2026 17:32)
   + [♣️Séries | Discovery Plus] Construções no Alasca (2012) S01E03  | (1ª vez: 20/01/2026 17:32)
   + [♣️Séries | Discovery Plus] Construções no Alasca (2012) S01E04  | (1ª vez: 20/01/2026 17:32)
   + [♣️Séries | Discovery Plus] Construções no Alasca (2012) S01E05  | (1ª vez: 20/01/2026 17:32)
   + [♣️Séries | Discovery Plus] Construções no Alasca (2012) S01E06  | (1ª vez: 20/01/2026 17:32)
   + [♣️Séries | Discovery Plus] Construções no Alasca (2012) S02E01  | (1ª vez: 20/01/2026 17:32)
   + [♣️Séries | Discovery Plus] Construções no Alasca (2012) S02E02  | (1ª vez: 20/01/2026 17:32)
   + [♣️Séries | Discovery Plus] Construções no Alasca (2012) S02E03  | (1ª vez: 20/01/2026 17:32)
   + [♣️Séries | Discovery Plus] Construções no Alasca (2012) S02E04  | (1ª vez: 20/01/2026 17:32)
   + [♣️Séries | Discovery Plus] Construções no Alasca (2012) S02E05  | (1ª vez: 20/01/2026 17:32)
   + [♣️Séries | Discovery Plus] Construções no Alasca (2012) S02E06  | (1ª vez: 20/01/2026 17:32)
   + [♣️Séries | Discovery Plus] Construções no Alasca (2012) S02E07  | (1ª vez: 20/01/2026 17:32)
   + [♣️Séries | Discovery Plus] Construções no Alasca (2012) S02E08  | (1ª vez: 20/01/2026 17:32)
   + [♣️Séries | Discovery Plus] Construções no Alasca (2012) S03E01  | (1ª vez: 20/01/2026 17:32)
   + [♣️Séries | Discovery Plus] Construções no Alasca (2012) S03E02  | (1ª vez: 20/01/2026 17:32)
   + [♣️Séries | Discovery Plus] Construções no Alasca (2012) S03E03  | (1ª vez: 20/01/2026 17:32)
   + [♣️Séries | Discovery Plus] Construções no Alasca (2012) S03E04  | (1ª vez: 20/01/2026 17:32)
   + [♣️Séries | Discovery Plus] Construções no Alasca (2012) S03E05  | (1ª vez: 20/01/2026 17:32)
   + [♣️Séries | Discovery Plus] Construções no Alasca (2012) S03E06  | (1ª vez: 20/01/2026 17:32)
   + [♣️Séries | Discovery Plus] Construções no Alasca (2012) S03E07  | (1ª vez: 20/01/2026 17:32)
   + [♣️Séries | Discovery Plus] Construções no Alasca (2012) S03E08  | (1ª vez: 20/01/2026 17:32)
   + [♣️Séries | Discovery Plus] Construções no Alasca (2012) S03E09  | (1ª vez: 20/01/2026 17:32)
   + [♣️Séries | Discovery Plus] Construções no Alasca (2012) S03E10  | (1ª vez: 20/01/2026 17:32)
   + [♣️Séries | Discovery Plus] Construções no Alasca (2012) S03E11  | (1ª vez: 20/01/2026 17:32)
   + [♣️Séries | Discovery Plus] Construções no Alasca (2012) S03E12  | (1ª vez: 20/01/2026 17:32)
   + [♣️Séries | Discovery Plus] Construções no Alasca (2012) S04E01  | (1ª vez: 20/01/2026 17:32)
   + [♣️Séries | Discovery Plus] Construções no Alasca (2012) S04E02  | (1ª vez: 20/01/2026 17:32)
   + [♣️Séries | Discovery Plus] Construções no Alasca (2012) S04E03  | (1ª vez: 20/01/2026 17:32)
   + [♣️Séries | Discovery Plus] Construções no Alasca (2012) S04E04  | (1ª vez: 20/01/2026 17:32)
   + [♣️Séries | Discovery Plus] Construções no Alasca (2012) S04E05  | (1ª vez: 20/01/2026 17:32)
   + [♣️Séries | Discovery Plus] Construções no Alasca (2012) S04E06  | (1ª vez: 20/01/2026 17:32)
   + [♣️Séries | Discovery Plus] Construções no Alasca (2012) S04E07  | (1ª vez: 20/01/2026 17:32)
   + [♣️Séries | Discovery Plus] Construções no Alasca (2012) S04E08  | (1ª vez: 20/01/2026 17:32)
   + [♣️Séries | Discovery Plus] Construções no Alasca (2012) S04E09  | (1ª vez: 20/01/2026 17:32)
   + [♣️Séries | Discovery Plus] Construções no Alasca (2012) S04E10  | (1ª vez: 20/01/2026 17:32)
   + [♣️Séries | Discovery Plus] Construções no Alasca (2012) S04E11  | (1ª vez: 20/01/2026 17:32)
   + [♣️Séries | Discovery Plus] Construções no Alasca (2012) S04E12  | (1ª vez: 20/01/2026 17:32)
   + [♣️Séries | Discovery Plus] Construções no Alasca (2012) S05E01  | (1ª vez: 20/01/2026 17:32)
   + [♣️Séries | Discovery Plus] Construções no Alasca (2012) S05E02  | (1ª vez: 20/01/2026 17:32)
   + [♣️Séries | Discovery Plus] Construções no Alasca (2012) S05E03  | (1ª vez: 20/01/2026 17:32)
   + [♣️Séries | Discovery Plus] Construções no Alasca (2012) S05E04  | (1ª vez: 20/01/2026 17:32)
   + [♣️Séries | Discovery Plus] Construções no Alasca (2012) S05E05  | (1ª vez: 20/01/2026 17:32)
   + [♣️Séries | Discovery Plus] Construções no Alasca (2012) S05E06  | (1ª vez: 20/01/2026 17:32)
   + [♣️Séries | Discovery Plus] Construções no Alasca (2012) S05E07  | (1ª vez: 20/01/2026 17:32)
   + [♣️Séries | Discovery Plus] Construções no Alasca (2012) S05E08  | (1ª vez: 20/01/2026 17:32)
   + [♣️Séries | Discovery Plus] Construções no Alasca (2012) S05E09  | (1ª vez: 20/01/2026 17:32)
   + [♣️Séries | Discovery Plus] Construções no Alasca (2012) S05E10  | (1ª vez: 20/01/2026 17:32)
   + [♣️Séries | Discovery Plus] Construções no Alasca (2012) S05E11  | (1ª vez: 20/01/2026 17:32)
   + [♣️Séries | Discovery Plus] Construções no Alasca (2012) S05E12  | (1ª vez: 20/01/2026 17:32)
   + [♣️Séries | Discovery Plus] Construções no Alasca (2012) S05E13  | (1ª vez: 20/01/2026 17:32)
   + [♣️Séries | Discovery Plus] Construções no Alasca (2012) S06E01  | (1ª vez: 20/01/2026 17:32)
   + [♣️Séries | Discovery Plus] Construções no Alasca (2012) S06E02  | (1ª vez: 20/01/2026 17:32)
   + [♣️Séries | Discovery Plus] Construções no Alasca (2012) S06E03  | (1ª vez: 20/01/2026 17:32)
   + [♣️Séries | Discovery Plus] Construções no Alasca (2012) S06E04  | (1ª vez: 20/01/2026 17:32)
   + [♣️Séries | Discovery Plus] Construções no Alasca (2012) S06E05  | (1ª vez: 20/01/2026 17:32)
   + [♣️Séries | Discovery Plus] Construções no Alasca (2012) S06E06  | (1ª vez: 20/01/2026 17:32)
   + [♣️Séries | Discovery Plus] Construções no Alasca (2012) S06E07  | (1ª vez: 20/01/2026 17:32)
   + [♣️Séries | Discovery Plus] Construções no Alasca (2012) S06E08  | (1ª vez: 20/01/2026 17:32)
   + [♣️Séries | Discovery Plus] Construções no Alasca (2012) S07E01  | (1ª vez: 20/01/2026 17:32)
   + [♣️Séries | Discovery Plus] Construções no Alasca (2012) S07E02  | (1ª vez: 20/01/2026 17:32)
   + [♣️Séries | Discovery Plus] Construções no Alasca (2012) S07E03  | (1ª vez: 20/01/2026 17:32)
   + [♣️Séries | Discovery Plus] Construções no Alasca (2012) S07E04  | (1ª vez: 20/01/2026 17:32)
   + [♣️Séries | Discovery Plus] Construções no Alasca (2012) S07E05  | (1ª vez: 20/01/2026 17:32)
   + [♣️Séries | Discovery Plus] Construções no Alasca (2012) S07E06  | (1ª vez: 20/01/2026 17:32)
   + [♣️Séries | Discovery Plus] Construções no Alasca (2012) S07E07  | (1ª vez: 20/01/2026 17:32)
   + [♣️Séries | Discovery Plus] Construções no Alasca (2012) S07E08  | (1ª vez: 20/01/2026 17:32)
   + [♣️Séries | Discovery Plus] Construções no Alasca (2012) S08E01  | (1ª vez: 20/01/2026 17:32)
   + [♣️Séries | Discovery Plus] Construções no Alasca (2012) S08E02  | (1ª vez: 20/01/2026 17:32)
   + [♣️Séries | Discovery Plus] Construções no Alasca (2012) S08E03  | (1ª vez: 20/01/2026 17:32)
   + [♣️Séries | Discovery Plus] Construções no Alasca (2012) S08E04  | (1ª vez: 20/01/2026 17:32)
   + [♣️Séries | Discovery Plus] Construções no Alasca (2012) S08E05  | (1ª vez: 20/01/2026 17:32)
   + [♣️Séries | Discovery Plus] Construções no Alasca (2012) S08E06  | (1ª vez: 20/01/2026 17:32)
   + [♣️Séries | Discovery Plus] Construções no Alasca (2012) S08E07  | (1ª vez: 20/01/2026 17:32)
   + [♣️Séries | Discovery Plus] Construções no Alasca (2012) S08E08  | (1ª vez: 20/01/2026 17:32)
   + [♣️Séries | Discovery Plus] Construções no Alasca (2012) S09E01  | (1ª vez: 20/01/2026 17:32)
   + [♣️Séries | Discovery Plus] Construções no Alasca (2012) S09E02  | (1ª vez: 20/01/2026 17:32)
   + [♣️Séries | Discovery Plus] Construções no Alasca (2012) S09E03  | (1ª vez: 20/01/2026 17:32)
   + [♣️Séries | Discovery Plus] Construções no Alasca (2012) S09E04  | (1ª vez: 20/01/2026 17:32)
   + [♣️Séries | Discovery Plus] Construções no Alasca (2012) S09E05  | (1ª vez: 20/01/2026 17:32)
   + [♣️Séries | Discovery Plus] Construções no Alasca (2012) S09E06  | (1ª vez: 20/01/2026 17:32)
   + [♣️Séries | Discovery Plus] Construções no Alasca (2012) S09E07  | (1ª vez: 20/01/2026 17:32)
   + [♣️Séries | Discovery Plus] Construções no Alasca (2012) S09E08  | (1ª vez: 20/01/2026 17:32)
   + [♣️Séries | Discovery Plus] Construções no Alasca (2012) S10E01  | (1ª vez: 20/01/2026 17:32)
   + [♣️Séries | Discovery Plus] Construções no Alasca (2012) S10E02  | (1ª vez: 20/01/2026 17:32)
   + [♣️Séries | Discovery Plus] Construções no Alasca (2012) S10E03  | (1ª vez: 20/01/2026 17:32)
   + [♣️Séries | Discovery Plus] Construções no Alasca (2012) S10E04  | (1ª vez: 20/01/2026 17:32)
   + [♣️Séries | Discovery Plus] Construções no Alasca (2012) S10E05  | (1ª vez: 20/01/2026 17:32)
   + [♣️Séries | Discovery Plus] Construções no Alasca (2012) S10E06  | (1ª vez: 20/01/2026 17:32)
   + [♣️Séries | Discovery Plus] Construções no Alasca (2012) S10E07  | (1ª vez: 20/01/2026 17:32)
   + [♣️Séries | Discovery Plus] Construções no Alasca (2012) S10E08  | (1ª vez: 20/01/2026 17:32)
   + [♣️Séries | Discovery Plus] Construções no Alasca (2012) S11E01  | (1ª vez: 20/01/2026 17:32)
   + [♣️Séries | Discovery Plus] Construções no Alasca (2012) S11E02  | (1ª vez: 20/01/2026 17:32)
   + [♣️Séries | Discovery Plus] Construções no Alasca (2012) S11E03  | (1ª vez: 20/01/2026 17:32)
   + [♣️Séries | Discovery Plus] Construções no Alasca (2012) S11E04  | (1ª vez: 20/01/2026 17:32)
   + [♣️Séries | Discovery Plus] Construções no Alasca (2012) S11E05  | (1ª vez: 20/01/2026 17:32)
   + [♣️Séries | Discovery Plus] Construções no Alasca (2012) S11E06  | (1ª vez: 20/01/2026 17:32)
   + [♣️Séries | Discovery Plus] Construções no Alasca (2012) S11E07  | (1ª vez: 20/01/2026 17:32)
   + [♣️Séries | Discovery Plus] Construções no Alasca (2012) S11E08  | (1ª vez: 20/01/2026 17:32)
   + [♣️Séries | Discovery Plus] Donas de Casa Desesperadas (2004) S01E01  | (1ª vez: 20/01/2026 17:32)
   + [♣️Séries | Discovery Plus] Donas de Casa Desesperadas (2004) S01E02  | (1ª vez: 20/01/2026 17:32)
   + [♣️Séries | Discovery Plus] Donas de Casa Desesperadas (2004) S01E03  | (1ª vez: 20/01/2026 17:32)
   + [♣️Séries | Discovery Plus] Donas de Casa Desesperadas (2004) S01E04  | (1ª vez: 20/01/2026 17:32)
   + [♣️Séries | Discovery Plus] Donas de Casa Desesperadas (2004) S01E05  | (1ª vez: 20/01/2026 17:32)
   + [♣️Séries | Discovery Plus] Donas de Casa Desesperadas (2004) S01E06  | (1ª vez: 20/01/2026 17:32)
   + [♣️Séries | Discovery Plus] Donas de Casa Desesperadas (2004) S01E07  | (1ª vez: 20/01/2026 17:32)
   + [♣️Séries | Discovery Plus] Donas de Casa Desesperadas (2004) S01E08  | (1ª vez: 20/01/2026 17:32)
   + [♣️Séries | Discovery Plus] Donas de Casa Desesperadas (2004) S01E09  | (1ª vez: 20/01/2026 17:32)
