
============================================================
📁 ARQUIVO: BLACKBR_-_OURO_-__TESTE_IPTV_COMPLETO_S_ADULTOS_[19-01-2026_00h45].m3u
📅 DATA: 19/01/2026 00:45
------------------------------------------------------------
ℹ️ BASE DE DADOS INICIADA: 271873 itens.

============================================================
📁 ARQUIVO: BLACKBR_-_OURO_-__TESTE_IPTV_COMPLETO_S_ADULTOS_[19-01-2026_18h27].m3u
📅 DATA: 19/01/2026 18:27
------------------------------------------------------------
🟢 ENTRARAM (1514):
   + [AMAZON PRIME VIDEO] As Aventuras do Gato de Botas (2015) S02E08  | (1ª vez: 19/01/2026 18:27)
   + [AMAZON PRIME VIDEO] As Aventuras do Gato de Botas (2015) S02E09  | (1ª vez: 19/01/2026 18:27)
   + [AMAZON PRIME VIDEO] As Aventuras do Gato de Botas (2015) S02E10  | (1ª vez: 19/01/2026 18:27)
   + [AMAZON PRIME VIDEO] As Aventuras do Gato de Botas (2015) S02E11  | (1ª vez: 19/01/2026 18:27)
   + [AMAZON PRIME VIDEO] As Aventuras do Gato de Botas (2015) S03E01  | (1ª vez: 19/01/2026 18:27)
   + [AMAZON PRIME VIDEO] As Aventuras do Gato de Botas (2015) S03E02  | (1ª vez: 19/01/2026 18:27)
   + [AMAZON PRIME VIDEO] As Aventuras do Gato de Botas (2015) S03E03  | (1ª vez: 19/01/2026 18:27)
   + [AMAZON PRIME VIDEO] As Aventuras do Gato de Botas (2015) S03E04  | (1ª vez: 19/01/2026 18:27)
   + [AMAZON PRIME VIDEO] As Aventuras do Gato de Botas (2015) S03E05  | (1ª vez: 19/01/2026 18:27)
   + [AMAZON PRIME VIDEO] As Aventuras do Gato de Botas (2015) S03E06  | (1ª vez: 19/01/2026 18:27)
   + [AMAZON PRIME VIDEO] As Aventuras do Gato de Botas (2015) S03E07  | (1ª vez: 19/01/2026 18:27)
   + [AMAZON PRIME VIDEO] As Aventuras do Gato de Botas (2015) S03E08  | (1ª vez: 19/01/2026 18:27)
   + [AMAZON PRIME VIDEO] As Aventuras do Gato de Botas (2015) S03E09  | (1ª vez: 19/01/2026 18:27)
   + [AMAZON PRIME VIDEO] As Aventuras do Gato de Botas (2015) S03E10  | (1ª vez: 19/01/2026 18:27)
   + [AMAZON PRIME VIDEO] As Aventuras do Gato de Botas (2015) S03E11  | (1ª vez: 19/01/2026 18:27)
   + [AMAZON PRIME VIDEO] As Aventuras do Gato de Botas (2015) S03E12  | (1ª vez: 19/01/2026 18:27)
   + [AMAZON PRIME VIDEO] As Aventuras do Gato de Botas (2015) S03E13  | (1ª vez: 19/01/2026 18:27)
   + [AMAZON PRIME VIDEO] As Aventuras do Gato de Botas (2015) S04E01  | (1ª vez: 19/01/2026 18:27)
   + [AMAZON PRIME VIDEO] As Aventuras do Gato de Botas (2015) S04E02  | (1ª vez: 19/01/2026 18:27)
   + [AMAZON PRIME VIDEO] As Aventuras do Gato de Botas (2015) S04E03  | (1ª vez: 19/01/2026 18:27)
   + [AMAZON PRIME VIDEO] As Aventuras do Gato de Botas (2015) S04E04  | (1ª vez: 19/01/2026 18:27)
   + [AMAZON PRIME VIDEO] As Aventuras do Gato de Botas (2015) S04E05  | (1ª vez: 19/01/2026 18:27)
   + [AMAZON PRIME VIDEO] As Aventuras do Gato de Botas (2015) S04E06  | (1ª vez: 19/01/2026 18:27)
   + [AMAZON PRIME VIDEO] As Aventuras do Gato de Botas (2015) S04E07  | (1ª vez: 19/01/2026 18:27)
   + [AMAZON PRIME VIDEO] As Aventuras do Gato de Botas (2015) S04E08  | (1ª vez: 19/01/2026 18:27)
   + [AMAZON PRIME VIDEO] As Aventuras do Gato de Botas (2015) S04E09  | (1ª vez: 19/01/2026 18:27)
   + [AMAZON PRIME VIDEO] As Aventuras do Gato de Botas (2015) S04E10  | (1ª vez: 19/01/2026 18:27)
   + [AMAZON PRIME VIDEO] As Aventuras do Gato de Botas (2015) S04E11  | (1ª vez: 19/01/2026 18:27)
   + [AMAZON PRIME VIDEO] As Aventuras do Gato de Botas (2015) S04E12  | (1ª vez: 19/01/2026 18:27)
   + [AMAZON PRIME VIDEO] As Aventuras do Gato de Botas (2015) S04E13  | (1ª vez: 19/01/2026 18:27)
   + [AMAZON PRIME VIDEO] Bat-Família (2025) S01E01  | (1ª vez: 19/01/2026 18:27)
   + [AMAZON PRIME VIDEO] Bat-Família (2025) S01E02  | (1ª vez: 19/01/2026 18:27)
   + [AMAZON PRIME VIDEO] Bat-Família (2025) S01E03  | (1ª vez: 19/01/2026 18:27)
   + [AMAZON PRIME VIDEO] Bat-Família (2025) S01E04  | (1ª vez: 19/01/2026 18:27)
   + [AMAZON PRIME VIDEO] Bat-Família (2025) S01E05  | (1ª vez: 19/01/2026 18:27)
   + [AMAZON PRIME VIDEO] Bat-Família (2025) S01E06  | (1ª vez: 19/01/2026 18:27)
   + [AMAZON PRIME VIDEO] Bat-Família (2025) S01E07  | (1ª vez: 19/01/2026 18:27)
   + [AMAZON PRIME VIDEO] Bat-Família (2025) S01E08  | (1ª vez: 19/01/2026 18:27)
   + [AMAZON PRIME VIDEO] Bat-Família (2025) S01E09  | (1ª vez: 19/01/2026 18:27)
   + [AMAZON PRIME VIDEO] Bat-Família (2025) S01E10  | (1ª vez: 19/01/2026 18:27)
   + [AMAZON PRIME VIDEO] Beach Life (2024) S01E01  | (1ª vez: 19/01/2026 18:27)
   + [AMAZON PRIME VIDEO] Beach Life (2024) S01E02  | (1ª vez: 19/01/2026 18:27)
   + [AMAZON PRIME VIDEO] Beach Life (2024) S01E03  | (1ª vez: 19/01/2026 18:27)
   + [AMAZON PRIME VIDEO] Beach Life (2024) S01E04  | (1ª vez: 19/01/2026 18:27)
   + [AMAZON PRIME VIDEO] Beach Life (2024) S01E05  | (1ª vez: 19/01/2026 18:27)
   + [AMAZON PRIME VIDEO] Beach Life (2024) S01E06  | (1ª vez: 19/01/2026 18:27)
   + [AMAZON PRIME VIDEO] Big Little Brawlers (2024) S01E01  | (1ª vez: 19/01/2026 18:27)
   + [AMAZON PRIME VIDEO] Big Little Brawlers (2024) S01E02  | (1ª vez: 19/01/2026 18:27)
   + [AMAZON PRIME VIDEO] Big Little Brawlers (2024) S01E03  | (1ª vez: 19/01/2026 18:27)
   + [AMAZON PRIME VIDEO] Big Little Brawlers (2024) S01E04  | (1ª vez: 19/01/2026 18:27)
   + [AMAZON PRIME VIDEO] Big Little Brawlers (2024) S01E05  | (1ª vez: 19/01/2026 18:27)
   + [AMAZON PRIME VIDEO] Big Little Brawlers (2024) S01E06  | (1ª vez: 19/01/2026 18:27)
   + [AMAZON PRIME VIDEO] Botched Presents: Plastic Surgery Rewind (2025) S01E01  | (1ª vez: 19/01/2026 18:27)
   + [AMAZON PRIME VIDEO] Casey Anthony Where the Truth Lies (2022) S01E01  | (1ª vez: 19/01/2026 18:27)
